employer_key,employer,fiscal_year,approvals,denials,state,city
amazon com,AMAZON COM SERVICES LLC,2021;2022;2023,36085,595,WA,SEATTLE
infosys,INFOSYS LIMITED,2021;2022;2023,25990,625,TX,RICHARDSON
tata consultancy svcs,TATA CONSULTANCY SVCS LTD,2021;2022;2023,24287,1208,MD,ROCKVILLE
cognizant,COGNIZANT TECHNOLOGY SOLUTIONS US,2021;2022;2023,18994,443,TX,COLLEGE STATION
google,GOOGLE LLC,2021;2022;2023,17362,190,CA,MOUNTAIN VIEW
microsoft,MICROSOFT CORPORATION,2021;2022;2023,15718,178,WA,REDMOND
deloitte consulting,DELOITTE CONSULTING LLP,2021;2022;2023,12004,533,PA,PHILADELPHIA
apple,APPLE INC,2021;2022;2023,11598,116,CA,CUPERTINO
wipro,WIPRO LIMITED,2021;2022;2023,8072,324,NJ,EAST BRUNSWICK
meta platforms,META PLATFORMS INC,2022;2023,7891,59,CA,MENLO PARK
capgemini,CAPGEMINI AMERICA INC,2021;2022;2023,7757,117,IL,CHICAGO
hcl,HCL AMERICA INC,2021;2022;2023,7675,225,CA,SUNNYVALE
jpmorgan chase,JPMORGAN CHASE CO,2021;2022;2023,7132,69,IL,CHICAGO
intel,INTEL CORP,2021;2022;2023,7125,181,AZ,CHANDLER
ibm,IBM CORPORATION,2021;2022;2023,6855,155,NC,DURHAM
ernst young,ERNST YOUNG LLP,2021;2022;2023,6536,110,NJ,SECAUCUS
amazon web,AMAZON WEB SERVICES INC,2021;2022;2023,6486,121,WA,SEATTLE
facebook,FACEBOOK INC,2021;2022,6469,35,CA,MENLO PARK
accenture,ACCENTURE LLP,2021;2022;2023,6270,96,IL,CHICAGO
wal mart associates,WAL MART ASSOCIATES INC,2021;2022;2023,5981,61,AR,BENTONVILLE
oracle,ORACLE AMERICA INC,2021;2022;2023,5823,23,CA,REDWOOD CITY
cisco,CISCO SYSTEMS INC,2021;2022;2023,5236,90,CA,SAN JOSE
salesforce com,SALESFORCE COM INC,2021;2022,5023,49,CA,SAN FRANCISCO
tech mahindra americas,TECH MAHINDRA AMERICAS INC,2021;2022;2023,4705,121,NJ,BEDMINSTER
fidelity investments,FIDELITY INVESTMENTS,2021;2022;2023,4493,64,MA,BOSTON
compunnel software,COMPUNNEL SOFTWARE GROUP INC,2021;2022;2023,4400,112,NJ,PLAINSBORO
qualcomm,QUALCOMM INCORPORATED,2021;2022;2023,3457,67,CA,SAN DIEGO
larsen and toubro infotech,LARSEN AND TOUBRO INFOTECH LIMITED,2021;2022,3267,48,NJ,EDISON
amazon development center,AMAZON DEVELOPMENT CENTER US INC,2021;2022;2023,2884,34,WA,SEATTLE
goldman sachs,GOLDMAN SACHS CO LLC,2021;2022;2023,2857,31,NJ,JERSEY CITY
paypal,PAYPAL INC,2021;2022;2023,2750,25,CA,SAN JOSE
mindtree,MINDTREE LIMITED,2021;2022;2023,2729,39,NJ,WARREN
randstad,RANDSTAD TECHNOLOGIES LLC,2021;2022;2023,2652,82,MA,WOBURN
linkedin,LINKEDIN CORPORATION,2021;2022;2023,2622,30,CA,SUNNYVALE
nvidia,NVIDIA CORP,2021;2022;2023,2541,17,CA,SANTA CLARA
tesla,TESLA INC,2021;2022;2023,2485,29,CA,PALO ALTO
virtusa,VIRTUSA CORPORATION,2021;2022;2023,2343,104,MA,SOUTHBOROUGH
atos syntel,ATOS SYNTEL INC,2021;2022;2023,2289,51,MI,TROY
mphasis,MPHASIS CORPORATION,2021;2022;2023,2246,27,NY,NEW YORK
deloitte and touche,DELOITTE & TOUCHE LLC,2021;2022;2023,2209,87,MP,SAIPAN
ebay,EBAY INC,2021;2022;2023,2175,10,CA,SAN JOSE
capital one,CAPITAL ONE SERVICES LLC,2021;2022;2023,2159,14,VA,HENRICO
ntt data,NTT DATA INC,2021;2022;2023,2138,54,MA,BOSTON
uber,UBER TECHNOLOGIES INC,2021;2022;2023,2123,40,CA,SAN FRANCISCO
citibank na,CITIBANK NA,2021;2022;2023,2122,27,NY,NEW YORK
cgi technologies and,CGI TECHNOLOGIES AND SOLUTIONS INC,2021;2022;2023,2070,26,VA,FAIRFAX
vmware,VMWARE INC,2021;2022;2023,2044,32,CA,PALO ALTO
l t,L T TECHNOLOGY SERVICES LLC,2021;2022;2023,2034,42,NJ,EDISON
kforce,KFORCE INC,2021;2022;2023,1997,99,FL,TAMPA
hexaware,HEXAWARE TECHNOLOGIES INC,2021;2022;2023,1975,41,NJ,ISELIN
mckinsey company inc united states,MCKINSEY COMPANY INC UNITED STATES,2021;2022;2023,1822,56,NY,NEW YORK
intuit,INTUIT INC,2021;2022;2023,1727,11,CA,MOUNTAIN VIEW
cummins,CUMMINS INC,2021;2022;2023,1717,30,TN,NASHVILLE
pricewaterhousecoopers advisory se,PRICEWATERHOUSECOOPERS ADVISORY SE,2021;2022,1715,57,FL,TAMPA
bloomberg,BLOOMBERG LP,2021;2022;2023,1713,21,NY,NEW YORK
adobe,ADOBE INC,2021;2022;2023,1707,59,CA,PLAYA VISTA
ford motor,FORD MOTOR COMPANY,2021;2022;2023,1706,6,MI,DEARBORN
morgan stanley,MORGAN STANLEY CO LLC,2021;2022;2023,1691,29,NY,NEW YORK
bank of america na,BANK OF AMERICA NA,2021;2022;2023,1642,12,NC,CHARLOTTE
pricewaterhousecoopers,PRICEWATERHOUSECOOPERS LLP,2021;2022;2023,1605,35,FL,TAMPA
visa technology and operations,VISA TECHNOLOGY & OPERATIONS LLC,2021;2022;2023,1556,13,CA,FOSTER CITY
american express travel related,AMERICAN EXPRESS TRAVEL RELATED,2021;2022;2023,1555,7,NY,NEW YORK
pwc advisory,PWC ADVISORY SERVICES LLC,2022;2023,1515,15,FL,TAMPA
general motors,GENERAL MOTORS COMPANY,2021;2022;2023,1503,14,MI,DETROIT
comcast cable communications,COMCAST CABLE COMMUNICATIONS LLC,2021;2022;2023,1491,24,PA,PHILADELPHIA
barclays,BARCLAYS SERVICES CORP,2021;2022;2023,1483,14,NY,NEW YORK
wayfair,WAYFAIR LLC,2021;2022;2023,1480,42,MA,BOSTON
optum,OPTUM SERVICES INC,2021;2022;2023,1476,8,MN,HOPKINS
us bank national association,US BANK NATIONAL ASSOCIATION,2021;2022;2023,1465,8,MN,MINNEAPOLIS
rivian automotive,RIVIAN AUTOMOTIVE LLC,2021;2022;2023,1378,5,CA,IRVINE
mastercard,MASTERCARD INTERNATIONAL INC,2021;2022;2023,1366,5,NY,PURCHASE
synechron,SYNECHRON INC,2021;2022;2023,1363,8,NY,NEW YORK
anthem,ANTHEM INC,2021;2022,1359,8,DE,WILMINGTON
birlasoft,BIRLASOFT INC,2021;2022;2023,1326,36,NJ,EDISON
charter communications,CHARTER COMMUNICATIONS INC,2021;2022;2023,1318,7,MO,SAINT LOUIS
ust global,UST GLOBAL INC,2021;2022;2023,1266,21,CA,ALISO VIEJO
t mobile,T MOBILE USA INC,2021;2022;2023,1252,10,WA,BELLEVUE
charles schwab and,CHARLES SCHWAB & COMPANY INC,2021;2022;2023,1235,5,CO,LONE TREE
servicenow,SERVICENOW INC,2021;2022;2023,1235,14,CA,SANTA CLARA
advanced micro devices,ADVANCED MICRO DEVICES INC,2021;2022;2023,1226,10,CA,SANTA CLARA
amgen,AMGEN INC,2021;2022;2023,1195,14,CA,NEWBURY PARK
the leland stanford jr university,THE LELAND STANFORD JR UNIVERSITY,2021;2022;2023,1182,14,CA,MENLO PARK
adp,ADP INC,2021;2022;2023,1161,15,NJ,ROSELAND
expedia,EXPEDIA INC,2021;2022;2023,1155,10,TX,AUSTIN
sap,SAP AMERICA INC,2021;2022;2023,1154,4,PA,NEWTOWN SQ
wells fargo bank na,WELLS FARGO BANK NA,2021;2022;2023,1123,9,SD,SIOUX FALLS
the boston consulting,THE BOSTON CONSULTING GROUP INC,2021;2022;2023,1115,42,MA,BOSTON
kpmg,KPMG LLP,2021;2022;2023,1103,24,TX,DALLAS
the mathworks,THE MATHWORKS INC,2021;2022;2023,1101,18,MA,NATICK
palo alto networks,PALO ALTO NETWORKS INC,2021;2022;2023,1099,24,CA,SANTA CLARA
state street bank and trust,STATE STREET BANK & TRUST COMPANY,2021;2022;2023,1076,15,MA,BOSTON
university of michigan,UNIVERSITY OF MICHIGAN,2021;2022;2023,1076,18,MI,ANN ARBOR
bytedance,BYTEDANCE INC,2021;2022;2023,1067,12,CA,MOUNTAIN VIEW
citiustech,CITIUSTECH INC,2021;2022;2023,1065,13,NJ,PRINCETON
doordash,DOORDASH INC,2021;2022;2023,1057,19,CA,SAN FRANCISCO
applied materials,APPLIED MATERIALS INC,2021;2022;2023,1052,21,CA,SANTA CLARA
citibank n a,CITIBANK N A,2021;2022,1028,8,NY,NEW YORK
fiserv,FISERV SOLUTIONS LLC,2021;2022;2023,1026,13,WI,BROOKFIELD
workday,WORKDAY INC,2021;2022;2023,995,2,CA,PLEASANTON
caremark,CAREMARK LLC,2021;2022;2023,994,15,RI,LINCOLN
oath,OATH HOLDINGS INC,2021;2022;2023,965,18,CA,SUNNYVALE
aetna resources,AETNA RESOURCES LLC,2021;2022;2023,964,17,RI,LINCOLN
hewlett packard enterprise,HEWLETT PACKARD ENTERPRISE COMPANY,2021;2022;2023,943,13,TX,HOUSTON
cvs pharmacy,CVS PHARMACY INC,2021;2022;2023,935,7,RI,LINCOLN
deloitte tax,DELOITTE TAX LLP,2021;2022;2023,922,13,PA,PHILADELPHIA
emc,EMC CORPORATION,2021;2022;2023,921,13,TX,ROUND ROCK
virtusa consulting svcs pvt,VIRTUSA CONSULTING SVCS PVT LTD,2021;2022;2023,916,30,NJ,PISCATAWAY
nike,NIKE INC,2021;2022;2023,915,5,OR,BEAVERTON
mayo clinic,MAYO CLINIC,2021;2022;2023,911,8,MN,ROCHESTER
verizon data,VERIZON DATA SERVICES LLC,2021;2022;2023,893,5,NJ,ALPINE
amazon data,AMAZON DATA SERVICES INC,2021;2022;2023,884,9,WA,SEATTLE
micron,MICRON TECHNOLOGY INC,2021;2022;2023,860,6,ID,BOISE
fedex corporate,FEDEX CORPORATE SERVICES INC,2021;2022;2023,859,12,TN,COLLIERVILLE
blackrock financial management,BLACKROCK FINANCIAL MANAGEMENT INC,2021;2022;2023,840,8,DE,WILMINGTON
hcl global,HCL GLOBAL SYSTEMS INC,2021;2022;2023,839,26,MI,FARMINGTON
lucid,LUCID HOLDINGS LLC,2021;2022;2023,836,17,LA,NEW ORLEANS
dfs corporate,DFS CORPORATE SERVICES LLC,2021;2022;2023,834,2,IL,DEERFIELD
ltimindtree,LTIMINDTREE LIMITED,2023,832,8,,
zs associates,ZS ASSOCIATES INC,2021;2022;2023,828,18,CA,WOODLAND HILLS
target enterprise,TARGET ENTERPRISE INC,2021;2022;2023,827,5,MN,MINNEAPOLIS
juniper networks,JUNIPER NETWORKS INC,2021;2022;2023,822,6,CA,SUNNYVALE
pioneer consulting,PIONEER CONSULTING LLC,2021;2022;2023,821,31,NJ,CRANBURY
thermo fisher scientific,THERMO FISHER SCIENTIFIC INC,2021;2022;2023,811,14,MA,WALTHAM
visa u s a,VISA U S A INC,2021;2022;2023,794,5,CA,FOSTER CITY
lowes companies,LOWES COMPANIES INC,2021;2022;2023,791,10,NC,MOORESVILLE
the devereux foundation,THE DEVEREUX FOUNDATION,2021;2022;2023,784,10,MA,RUTLAND
epam,EPAM SYSTEMS INC,2021;2022;2023,771,10,PA,NEWTOWN
eficens,EFICENS SYSTEMS LLC,2021;2022;2023,769,17,GA,LAWRENCEVILLE
nokia of,NOKIA OF AMERICA CORPORATION,2021;2022;2023,766,6,NJ,MURRAY HILL
snap,SNAP INC,2021;2022;2023,766,15,CA,SANTA MONICA
twitter,TWITTER INC,2021;2022;2023,766,24,CA,SAN FRANCISCO
synopsys,SYNOPSYS INC,2021;2022;2023,745,17,CA,MOUNTAIN VIEW
marlabs,MARLABS INC,2021;2022;2023,744,31,NJ,PISCATAWAY
at and t,AT&T SERVICES INC,2021;2022;2023,734,8,TX,RICHARDSON
credit suisse securities,CREDIT SUISSE SECURITIES USA LLC,2021;2022;2023,721,4,NY,NEW YORK
medtronic,MEDTRONIC INC,2021;2022;2023,714,8,MN,MINNEAPOLIS
evernorth enterprise,EVERNORTH ENTERPRISE SERVICES INC,2021;2022;2023,713,3,MO,SAINT LOUIS
yale university,YALE UNIVERSITY,2021;2022;2023,710,7,CT,GUILFORD
univ of wi system madison,UNIV OF WI SYSTEM/MADISON,2021;2022;2023,695,16,WI,MADISON
cleveland clinic,CLEVELAND CLINIC,2021;2022;2023,687,13,OH,CLEVELAND
zensar,ZENSAR TECHNOLOGIES INC,2021;2022;2023,687,8,IL,CHICAGO
iris software,IRIS SOFTWARE INC,2021;2022;2023,685,11,NJ,EDISON
johns hopkins university,JOHNS HOPKINS UNIVERSITY,2021;2022;2023,682,4,MD,BALTIMORE
university of maryland,UNIVERSITY OF MARYLAND,2021;2022;2023,680,17,MD,BALTIMORE
columbia university,COLUMBIA UNIVERSITY,2021;2022;2023,669,6,NY,NEW YORK
mgt health syss llc dba medpro int,MGT HEALTH SYSS LLC DBA MEDPRO INT,2021;2022,668,14,FL,FORT LAUDERDALE
national institutes of health hhs,NATIONAL INSTITUTES OF HEALTH HHS,2021;2022;2023,665,19,MD,BETHESDA
stripe,STRIPE INC,2021;2022;2023,664,12,CA,SAN FRANCISCO
persistent,PERSISTENT SYSTEMS INC,2021;2022;2023,656,9,CA,SANTA CLARA
mastech digital techs inc a mastec,MASTECH DIGITAL TECHS INC A MASTEC,2021;2022,655,27,PA,CORAOPOLIS
asml,ASML US LLC,2021;2022;2023,654,20,AZ,CHANDLER
populus,POPULUS GROUP LLC,2021;2022;2023,650,40,MI,TROY
chewy,CHEWY INC,2021;2022;2023,645,11,FL,DANIA
akamai,AKAMAI TECHNOLOGIES INC,2021;2022;2023,641,14,MA,CAMBRIDGE
univ of california san francisco,UNIV OF CALIFORNIA SAN FRANCISCO,2021;2022;2023,641,5,CA,SAN FRANCISCO
dell usa l p,DELL USA L P,2021;2022;2023,639,11,TX,ROUND ROCK
american airlines,AMERICAN AIRLINES INC,2021;2022;2023,636,13,TX,FORT WORTH
truist bank,TRUIST BANK,2021;2022;2023,631,8,NC,CHARLOTTE
university of pennsylvania,UNIVERSITY OF PENNSYLVANIA,2021;2022;2023,631,9,PA,PHILADELPHIA
harvard university,HARVARD UNIVERSITY,2021;2022;2023,628,7,MA,CAMBRIDGE
avco consulting,AVCO CONSULTING INC,2021;2022;2023,627,32,MA,WORCESTER
kla,KLA CORP,2021;2022;2023,621,16,CA,MILPITAS
zillow,ZILLOW INC,2021;2022;2023,618,8,WA,SEATTLE
infinite computer,INFINITE COMPUTER SOLUTIONS INC,2021;2022;2023,615,23,MD,ROCKVILLE
exlservice com,EXLSERVICE COM LLC,2021;2022;2023,608,17,NY,NEW YORK
mastech digital technologies inc a mastech digital,MASTECH DIGITAL TECHNOLOGIES INC A MASTECH DIGITAL INC COMPANY,2022;2023,604,21,PA,CORAOPOLIS
twilio,TWILIO INC,2021;2022;2023,600,4,CA,SAN FRANCISCO
ubs business,UBS BUSINESS SOLUTIONS US LLC,2021;2022;2023,593,9,TN,NASHVILLE
slalom,SLALOM LLC,2021;2022;2023,590,5,WA,SEATTLE
valuemomentum,VALUEMOMENTUM INC,2021;2022;2023,590,10,NJ,PISCATAWAY
lyft,LYFT INC,2021;2022;2023,586,15,CA,SAN FRANCISCO
fca,FCA US LLC,2021;2022;2023,584,7,MI,AUBURN HILLS
equifax,EQUIFAX INC,2021;2022;2023,583,1,GA,ATLANTA
caterpillar,CATERPILLAR INC,2021;2022;2023,582,5,IL,PEORIA
cerner,CERNER CORPORATION,2021;2022;2023,578,15,MO,KANSAS CITY
citizens financial,CITIZENS FINANCIAL GROUP INC,2021;2022;2023,575,7,RI,JOHNSTON
fis management,FIS MANAGEMENT SERVICES LLC,2021;2022;2023,575,5,NY,NEW YORK
autodesk,AUTODESK INC,2021;2022;2023,574,3,CA,SAN RAFAEL
tiktok,TIKTOK INC,2021;2022;2023,570,5,CA,CULVER CITY
nordstrom,NORDSTROM INC,2021;2022;2023,565,5,WA,SEATTLE
prokarma,PROKARMA INC,2021;2022,564,3,NE,OMAHA
brillio,BRILLIO LLC,2021;2022;2023,562,10,CA,SANTA CLARA
cadence design,CADENCE DESIGN SYSTEMS INC,2021;2022;2023,559,3,CA,SAN JOSE
airbnb,AIRBNB INC,2021;2022;2023,557,5,CA,SAN FRANCISCO
ericsson,ERICSSON INC,2021;2022;2023,557,11,TX,PLANO
the university of chicago,THE UNIVERSITY OF CHICAGO,2021;2022;2023,557,8,IL,CHICAGO
university of pittsburgh,UNIVERSITY OF PITTSBURGH,2021;2022;2023,553,20,PA,PITTSBURGH
ibm india private,IBM INDIA PRIVATE LIMITED,2021;2022,543,52,NC,DURHAM
robinhood markets,ROBINHOOD MARKETS INC,2021;2022;2023,540,12,CA,MENLO PARK
washington university in st louis,WASHINGTON UNIVERSITY IN ST LOUIS,2021;2022;2023,538,11,MO,SAINT LOUIS
collaborate,COLLABORATE SOLUTIONS INC,2021;2022;2023,537,39,MA,SHREWSBURY
emory university,EMORY UNIVERSITY,2021;2022;2023,534,12,GA,ATLANTA
massachusetts inst of,MASSACHUSETTS INST OF TECHNOLOGY,2021;2022;2023,528,2,MA,CAMBRIDGE
intellectt,INTELLECTT INC,2021;2022;2023,524,6,NJ,ISELIN
netflix,NETFLIX INC,2021;2022;2023,521,7,CA,LOS GATOS
indeed,INDEED INC,2021;2022;2023,520,7,TX,AUSTIN
hitachi vantara,HITACHI VANTARA LLC,2021;2022;2023,516,11,CA,PLEASANTON
ut southwestern medical center,UT SOUTHWESTERN MEDICAL CENTER,2021;2022;2023,516,9,TX,DALLAS
the pennsylvania state university,THE PENNSYLVANIA STATE UNIVERSITY,2021;2022;2023,513,12,PA,UNIVERSITY PARK
the vanguard,THE VANGUARD GROUP,2021;2022;2023,513,2,PA,MALVERN
humana,HUMANA INC,2021;2022;2023,510,2,KY,LOUISVILLE
university of florida,UNIVERSITY OF FLORIDA,2021;2022;2023,510,8,FL,GAINESVILLE
citicorp credit,CITICORP CREDIT SERVICES INC USA,2021;2022;2023,509,6,NY,NEW YORK
htc global,HTC GLOBAL SERVICES INC,2021;2022;2023,506,13,MI,TROY
honeywell,HONEYWELL INTERNATIONAL INC,2021;2022;2023,504,7,NC,CHARLOTTE
samsung electronics,SAMSUNG ELECTRONICS AMERICA INC,2021;2022;2023,503,4,NJ,RIDGEFIELD PARK
ut battelle llc ornl,UT BATTELLE LLC ORNL,2021;2022;2023,503,8,TN,OAK RIDGE
abbvie,ABBVIE INC,2021;2022;2023,502,10,IL,NORTH CHICAGO
pinterest,PINTEREST INC,2021;2022;2023,502,17,CA,SAN FRANCISCO
prokarma inc dba concentrix catalyst,PROKARMA INC DBA CONCENTRIX CATALYST,2022;2023,501,6,NE,OMAHA
salesforce,SALESFORCE INC,2022;2023,501,9,CA,SAN FRANCISCO
bofa securities,BOFA SECURITIES INC,2021;2022;2023,500,10,NC,CHARLOTTE
cruise,CRUISE LLC,2021;2022;2023,500,1,CA,SAN FRANCISCO
splunk,SPLUNK INC,2021;2022;2023,496,12,CA,SAN FRANCISCO
goldman sachs bank,GOLDMAN SACHS BANK USA,2021;2022;2023,491,5,NJ,JERSEY CITY
western digital,WESTERN DIGITAL TECHNOLOGIES INC,2021;2022;2023,491,4,CA,SAN JOSE
northwestern university,NORTHWESTERN UNIVERSITY,2021;2022;2023,488,6,IL,EVANSTON
fortinet,FORTINET INC,2021;2022;2023,486,9,CA,SUNNYVALE
genpact,GENPACT LLC,2021;2022;2023,482,10,NJ,SHORT HILLS
lam research,LAM RESEARCH CORPORATION,2021;2022;2023,479,6,CA,FREMONT
quest global services na,QUEST GLOBAL SERVICES-NA INC,2021;2022;2023,477,7,CT,EAST HARTFORD
dell products l p,DELL PRODUCTS L P,2021;2022;2023,473,10,TX,ROUND ROCK
intuitive surgical operations,INTUITIVE SURGICAL OPERATIONS INC,2021;2022;2023,472,10,CA,SUNNYVALE
v soft consulting,V SOFT CONSULTING GROUP INC,2021;2022;2023,467,16,KY,LOUISVILLE
university of minnesota,UNIVERSITY OF MINNESOTA,2021;2022;2023,466,6,MN,MINNEAPOLIS
erp analysts,ERP ANALYSTS INC,2021;2022;2023,465,9,OH,DUBLIN
management health systems llc dba medpro,MANAGEMENT HEALTH SYSTEMS LLC DBA MEDPRO INTERNATIONAL,2022;2023,464,7,FL,FORT LAUDERDALE
dallas independent school district,DALLAS INDEPENDENT SCHOOL DISTRICT,2021;2022;2023,461,8,TX,DALLAS
databricks,DATABRICKS INC,2021;2022;2023,459,6,CA,SAN FRANCISCO
nutanix,NUTANIX INC,2021;2022;2023,459,12,CA,SAN JOSE
red hat,RED HAT INC,2021;2022;2023,459,6,NC,RALEIGH
waymo,WAYMO LLC,2021;2022;2023,459,5,CA,MOUNTAIN VIEW
eclinicalworks,ECLINICALWORKS LLC,2021;2022;2023,456,1,MA,WESTBOROUGH
atlassian,ATLASSIAN INC,2021;2022;2023,455,6,CA,MOUNTAIN VIEW
natsoft,NATSOFT CORPORATION,2021;2022;2023,455,10,NJ,SOMERSET
purdue university,PURDUE UNIVERSITY,2021;2022;2023,455,14,IN,WEST LAFAYETTE
duke university univ med ctr affil,DUKE UNIVERSITY UNIV MED CTR AFFIL,2021;2022;2023,453,13,NC,DURHAM
roku,ROKU INC,2021;2022;2023,452,2,CA,LOS GATOS
globallogic,GLOBALLOGIC INC,2021;2022;2023,451,7,CA,SAN JOSE
snowflake,SNOWFLAKE INC,2021;2022;2023,449,4,CA,SAN MATEO
safeway,SAFEWAY INC,2021;2022;2023,446,5,CA,PLEASANTON
texas a and m university,TEXAS A&M UNIVERSITY,2021;2022;2023,446,15,TX,COLLEGE STATION
university of southern california,UNIVERSITY OF SOUTHERN CALIFORNIA,2021;2022;2023,445,4,CA,LOS ANGELES
best buy,BEST BUY CO INC,2021;2022;2023,441,5,MN,MINNEAPOLIS
miracle software,MIRACLE SOFTWARE SYSTEMS INC,2021;2022;2023,441,7,MI,NOVI
system soft,SYSTEM SOFT TECHNOLOGIES LLC,2021;2022;2023,441,8,VA,HERNDON
brigham and women s hospital,BRIGHAM & WOMEN S HOSPITAL,2021;2022;2023,440,8,MA,SOMERVILLE
headstrong,HEADSTRONG SERVICES LLC,2021;2022;2023,440,2,NJ,SHORT HILLS
nagarro,NAGARRO INC,2021;2022;2023,439,11,CA,SAN JOSE
sirius xm radio,SIRIUS XM RADIO INC,2021;2022;2023,436,0,NY,NEW YORK
becton dickinson and,BECTON DICKINSON AND COMPANY,2021;2022;2023,434,7,NJ,FRANKLIN LAKES
block,BLOCK INC,2022;2023,433,5,CA,SAN FRANCISCO
broadcom,BROADCOM CORPORATION,2021;2022;2023,432,17,CA,SAN JOSE
docusign,DOCUSIGN INC,2021;2022;2023,432,7,CA,SAN FRANCISCO
maplebear inc d b a instacart,MAPLEBEAR INC D/B/A INSTACART,2021;2022;2023,432,3,CA,SAN FRANCISCO
netapp,NETAPP INC,2021;2022;2023,432,4,CA,SUNNYVALE
coinbase,COINBASE INC,2021;2022;2023,430,6,CA,SAN FRANCISCO
the university of texas at austin,THE UNIVERSITY OF TEXAS AT AUSTIN,2021;2022;2023,430,9,TX,AUSTIN
adecco group na modis,ADECCO GROUP NA / MODIS INC,2021;2022;2023,428,6,FL,JACKSONVILLE
gilead sciences,GILEAD SCIENCES INC,2021;2022;2023,428,0,CA,FOSTER CITY
home depot product authority,HOME DEPOT PRODUCT AUTHORITY LLC,2021;2022,428,2,GA,ATLANTA
aptiv,APTIV CORPORATION,2021;2022;2023,427,5,MI,TROY
xoriant,XORIANT CORPORATION,2021;2022;2023,427,12,CA,SUNNYVALE
sapient,SAPIENT CORPORATION,2021;2022;2023,426,92,MA,BOSTON
audible,AUDIBLE INC,2021;2022;2023,425,5,NJ,NEWARK
diversant,DIVERSANT LLC,2021;2022;2023,425,18,NJ,RED BANK
the university of iowa,THE UNIVERSITY OF IOWA,2021;2022;2023,424,14,IA,IOWA CITY
siemens industry software,SIEMENS INDUSTRY SOFTWARE INC,2021;2022;2023,420,4,TX,ADDISON
transunion,TRANSUNION LLC,2021;2022;2023,420,5,IL,CHICAGO
the university of virginia,THE UNIVERSITY OF VIRGINIA,2021;2022;2023,418,6,VA,CHARLOTTESVILLE
deere and,DEERE AND COMPANY,2021;2022;2023,413,4,IL,MOLINE
university of illinois at chicago,UNIVERSITY OF ILLINOIS AT CHICAGO,2022;2023,413,8,IL,CHAMPAIGN
computer sciences,COMPUTER SCIENCES CORPORATION,2021;2022;2023,412,11,TX,RICHARDSON
texas instruments,TEXAS INSTRUMENTS INCORPORATED,2021;2022;2023,412,6,TX,DALLAS
perficient,PERFICIENT INC,2021;2022;2023,410,7,MO,SAINT LOUIS
quest diagnostics,QUEST DIAGNOSTICS INCORPORATED,2021;2022;2023,408,6,NJ,SECAUCUS
zoox,ZOOX INC,2021;2022;2023,408,5,CA,FOSTER CITY
childrens hospital,CHILDRENS HOSPITAL CORPORATION,2021;2022;2023,404,1,MA,BOSTON
mufg union bank na,MUFG UNION BANK NA,2021;2022;2023,403,4,NY,NEW YORK
axtria,AXTRIA INC,2021;2022;2023,401,5,NJ,BERKELEY HEIGHTS
teladoc health,TELADOC HEALTH INC,2021;2022;2023,401,10,NY,PURCHASE
collabera,COLLABERA INC,2021;2022;2023,400,6,NJ,BASKING RIDGE
sony interactive entertainment,SONY INTERACTIVE ENTERTAINMENT LLC,2021;2022;2023,398,6,CA,SAN MATEO
university of utah,UNIVERSITY OF UTAH,2021;2022;2023,398,12,UT,SALT LAKE CITY
univ of il at urbana champaign,UNIV OF IL AT URBANA CHAMPAIGN,2021;2022,396,5,IL,CHAMPAIGN
university of california san diego,UNIVERSITY OF CALIFORNIA SAN DIEGO,2021;2022;2023,396,8,CA,LA JOLLA
icahn school of medicine at mount sinai,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2022;2023,394,9,NY,NEW YORK
discover products,DISCOVER PRODUCTS INC,2021;2022;2023,393,7,IL,DEERFIELD
memorial sloan kettering cancer center,MEMORIAL SLOAN KETTERING CANCER CENTER,2022;2023,392,12,NY,NEW YORK
the bank of new york mellon,THE BANK OF NEW YORK MELLON,2021;2022;2023,388,6,PA,PITTSBURGH
dropbox,DROPBOX INC,2021;2022;2023,387,6,CA,SAN FRANCISCO
credit karma,CREDIT KARMA INC,2021;2022;2023,386,6,CA,SAN FRANCISCO
epitec,EPITEC INC,2021;2022;2023,386,14,MI,SOUTHFIELD
bristol myers squibb,BRISTOL MYERS SQUIBB COMPANY,2021;2022;2023,384,4,NJ,PRINCETON
marvell semiconductor,MARVELL SEMICONDUCTOR INC,2021;2022;2023,383,12,CA,SANTA CLARA
citigroup global markets,CITIGROUP GLOBAL MARKETS INC,2021;2022;2023,380,4,NY,NEW YORK
data,DATA INC,2021;2022;2023,379,21,NJ,MONTVALE
university of colorado denver,UNIVERSITY OF COLORADO DENVER,2021;2022,379,5,CO,AURORA
baylor college of medicine,BAYLOR COLLEGE OF MEDICINE,2021;2022;2023,378,6,TX,HOUSTON
the ohio state university,THE OHIO STATE UNIVERSITY,2021;2022;2023,378,8,OH,COLUMBUS
indiana univ purdue univ indianapolis,INDIANA UNIV PURDUE UNIV INDIANAPOLIS,2022;2023,378,8,IN,BLOOMINGTON
analog devices,ANALOG DEVICES INC,2021;2022;2023,377,5,MA,WILMINGTON
tata elxsi,TATA ELXSI LIMITED,2021;2022;2023,372,3,CA,SANTA CLARA
dish network l l c,DISH NETWORK L L C,2021;2022;2023,370,3,CO,ENGLEWOOD
university of washington,UNIVERSITY OF WASHINGTON,2021;2022;2023,370,5,WA,SEATTLE
