employer_key,employer,fiscal_year,approvals,denials,state,city
forgerock,FORGEROCK INC,2021;2022;2023,27,0,CA,SAN FRANCISCO
freedom debt relief,FREEDOM DEBT RELIEF LLC,2021;2022;2023,27,0,AZ,TEMPE
fresenius usa manufacturing inc a,FRESENIUS USA MANUFACTURING INC A,2021;2022,27,1,MA,WALTHAM
fubotv,FUBOTV INC,2021;2022,27,0,NY,NEW YORK
genewiz,GENEWIZ LLC,2021;2022,27,4,NJ,SOUTH PLAINFIELD
genscript,GENSCRIPT USA INC,2021;2022;2023,27,0,NJ,PISCATAWAY
global applications,GLOBAL APPLICATIONS SOLUTIONS LLC,2021;2022;2023,27,2,NJ,EAST RUTHERFORD
integrated tech strategies,INTEGRATED TECH STRATEGIES INC,2021;2022,27,2,NJ,CHERRY HILL
jo ann stores support center,JO ANN STORES SUPPORT CENTER INC,2021;2022;2023,27,0,OH,HUDSON
kayak software,KAYAK SOFTWARE CORPORATION,2021;2022;2023,27,0,CT,STAMFORD
key business,KEY BUSINESS SOLUTIONS INC,2021;2022;2023,27,3,CA,SACRAMENTO
magnite,MAGNITE INC,2021;2022;2023,27,0,CA,LOS ANGELES
maritz consulting,MARITZ CONSULTING GROUP,2021;2022,27,1,MN,HOPKINS
mastech digital alliances inc a ma,MASTECH DIGITAL ALLIANCES INC A MA,2021;2022,27,4,PA,CORAOPOLIS
mastech digital cons inc a mastech,MASTECH DIGITAL CONS INC A MASTECH,2021,27,0,PA,CORAOPOLIS
mathematica,MATHEMATICA INC,2021;2022;2023,27,1,NJ,PRINCETON
mckinsol consulting,MCKINSOL CONSULTING INC,2021;2022;2023,27,0,NJ,EDISON
meridian,MERIDIAN TECHNOLOGIES INC,2021;2022;2023,27,1,MI,FARMINGTON HILLS
mio partners,MIO PARTNERS INC,2021;2022;2023,27,1,NY,NEW YORK
murex north,MUREX NORTH AMERICA INC,2021;2022;2023,27,0,NY,NEW YORK
mylan,MYLAN INC,2021;2022;2023,27,0,PA,CANONSBURG
national union fire insurance,NATIONAL UNION FIRE INSURANCE CO,2021;2022,27,1,NY,NEW YORK
neustar,NEUSTAR INC,2021;2022,27,2,VA,STERLING
nextroll,NEXTROLL INC,2021;2022;2023,27,0,CA,SAN FRANCISCO
nissan north,NISSAN NORTH AMERICA INC,2021;2022;2023,27,0,TN,FRANKLIN
norc,NORC,2021;2022;2023,27,0,IL,CHICAGO
ohio farmers insurance,OHIO FARMERS INSURANCE COMPANY,2021;2022;2023,27,0,OH,WESTFIELD CENTER
oklahoma state univ,OKLAHOMA STATE UNIV,2021,27,0,OK,STILLWATER
openai,OPENAI INC,2021;2022,27,0,CA,SAN FRANCISCO
optimus ride,OPTIMUS RIDE INC,2021;2022,27,1,MA,BOSTON
particle media,PARTICLE MEDIA INC,2021;2022;2023,27,2,CA,MOUNTAIN VIEW
people tech,PEOPLE TECH GROUP INC,2021;2022;2023,27,2,DE,LEWES
petabytz,PETABYTZ TECHNOLOGIES INC,2021;2022;2023,27,4,NJ,EDISON
prometheus computing,PROMETHEUS COMPUTING LLC,2021;2022;2023,27,1,NC,CULLOWHEE
prominds business consulting,PROMINDS BUSINESS CONSULTING INC,2021;2022;2023,27,3,GA,ROSWELL
public partnerships,PUBLIC PARTNERSHIPS LLC,2021;2022;2023,27,0,MA,BOSTON
r r donnelley sons,R R DONNELLEY SONS COMPANY,2021;2022;2023,27,1,IL,CHICAGO
raytheon,RAYTHEON TECHNOLOGIES CORPORATION,2021;2022;2023,27,0,MA,WALTHAM
redbud,REDBUD TECHNOLOGIES INC,2021;2022;2023,27,1,TX,MCKINNEY
relevance lab,RELEVANCE LAB INC,2021;2022;2023,27,0,CA,SAN JOSE
rhp soft,RHP SOFT INC,2021;2022;2023,27,2,CA,PLEASANTON
rjtechglobal,RJTECHGLOBAL INC,2021;2022;2023,27,0,PA,MALVERN
robert packer hospital,ROBERT PACKER HOSPITAL,2021;2022,27,0,PA,SAYRE
robotics,ROBOTICS TECHNOLOGIES LLC,2021;2022;2023,27,1,OK,DURANT
saansol,SAANSOL INC,2021;2022;2023,27,0,NJ,METUCHEN
sai global,SAI GLOBAL SOLUTIONS INC,2021;2022;2023,27,0,MD,ELKRIDGE
saibersys,SAIBERSYS INC,2021;2022;2023,27,2,TX,CARROLLTON
sap industries,SAP INDUSTRIES INC,2021;2022;2023,27,0,PA,NEWTOWN SQUARE
scadea,SCADEA SOLUTIONS INC,2021;2022;2023,27,0,NJ,PRINCETON
science 37,SCIENCE 37 INC,2021;2022;2023,27,0,CA,CULVER CITY
selective insurance company of am,SELECTIVE INSURANCE COMPANY OF AM,2021;2022,27,1,NJ,BRANCHVILLE
shelby county schools,SHELBY COUNTY SCHOOLS,2021;2022;2023,27,4,TN,MEMPHIS
simarn llc dba simarn,SIMARN LLC DBA SIMARN SOLUTIONS,2021;2022,27,1,TX,IRVING
skillnet,SKILLNET SOLUTIONS INC,2021;2022;2023,27,2,CA,CAMPBELL
solstice consulting llc dba kin,SOLSTICE CONSULTING LLC DBA KIN,2021;2022,27,0,IL,CHICAGO
spacewalk,SPACEWALK SYSTEMS INC,2021;2022;2023,27,0,MI,NOVI
spino,SPINO INC,2021;2022;2023,27,0,NJ,MONMOUTH JUNCTION
staffbee,STAFFBEE SOLUTIONS INC,2021;2022;2023,27,2,GA,ALPHARETTA
stamps com,STAMPS COM INC,2021;2022,27,0,CA,EL SEGUNDO
standish management,STANDISH MANAGEMENT LLC,2021;2022;2023,27,0,CA,SAN FRANCISCO
stark pharma,STARK PHARMA TECHNOLOGY INC,2021;2022;2023,27,0,NJ,SOUTH PLAINFIELD
stratus,STRATUS TECHNOLOGIES INC,2021;2022;2023,27,0,MA,MAYNARD
summit medical group d b a st eliz,SUMMIT MEDICAL GROUP D/B/A ST ELIZ,2021,27,0,KY,ERLANGER
sun pharmaceutical industries,SUN PHARMACEUTICAL INDUSTRIES INC,2021;2022;2023,27,0,NJ,PRINCETON
swiss re america holding,SWISS RE AMERICA HOLDING CORP,2021;2022;2023,27,0,NY,ARMONK
tampa electric,TAMPA ELECTRIC COMPANY,2021;2022;2023,27,0,FL,TAMPA
techflurry,TECHFLURRY SOLUTIONS LLC,2021;2022;2023,27,3,AZ,PHOENIX
techie brains,TECHIE BRAINS INCORPORATED,2021;2022;2023,27,0,IL,NORMAL
tekion,TEKION CORP,2021;2022,27,0,CA,SAN RAMON
tekxel,TEKXEL LLC,2021;2022;2023,27,3,CO,STEAMBOAT SPR
tergus pharma,TERGUS PHARMA LLC,2021;2022;2023,27,1,NC,DURHAM
the boeing,THE BOEING COMPANY,2021;2022,27,0,IL,CHICAGO
the npd,THE NPD GROUP INC,2021;2022,27,0,NY,PORT WASHINGTON
thomasjefferson universityhospital,THOMASJEFFERSON UNIVERSITYHOSPITAL,2021,27,1,PA,PHILADELPHIA
thomson reuters tax and accounting i,THOMSON REUTERS TAX & ACCOUNTING I,2021;2022,27,0,TX,CARROLLTON
thoughtfocus,THOUGHTFOCUS INC,2021;2022;2023,27,0,WI,BROOKFIELD
thredup,THREDUP INC,2021;2022;2023,27,0,CA,OAKLAND
tk chain,TK CHAIN LLC,2021;2022;2023,27,1,NJ,SOMERSET
trinity medical center,TRINITY MEDICAL CENTER,2021;2022;2023,27,0,IL,ROCK ISLAND
trustees of the smith college,TRUSTEES OF THE SMITH COLLEGE,2021;2022;2023,27,1,MA,NORTHAMPTON
